iter	AUC	Logloss
0	0.5616959848	0.6124121232
1	0.576035611	0.5461629433
2	0.5760241452	0.4906052151
3	0.5828858203	0.4447757508
4	0.5829337326	0.4070468651
5	0.5964964562	0.3749844874
6	0.5964964562	0.3495138786
7	0.5964964562	0.3284840132
8	0.6560319124	0.3082841953
9	0.6972388168	0.2906277374
10	0.7120598712	0.2752383243
11	0.728868518	0.2619096827
12	0.7285902349	0.2526723611
13	0.7339910066	0.2437780763
14	0.7487434018	0.2353374781
15	0.7689778991	0.2269595313
16	0.7872426883	0.2189736346
17	0.7950619768	0.2122524616
18	0.7968782902	0.2074402941
19	0.7990090168	0.2027141794
20	0.8000542735	0.1987382055
21	0.802079819	0.1951811681
22	0.8030801466	0.1923817425
23	0.803676248	0.1899830503
24	0.8047534915	0.1876646701
25	0.8048062101	0.1857791286
26	0.8060903955	0.1838773248
27	0.8069257873	0.182196806
28	0.8073270453	0.180935
29	0.8085603804	0.179601731
30	0.8087316594	0.1787513781
31	0.8086568981	0.1779610881
32	0.809116344	0.1769330043
33	0.810543739	0.1759191759
34	0.8125287097	0.174990016
35	0.8161968639	0.1738903062
36	0.8183889875	0.1729995097
37	0.820087298	0.1721949276
38	0.8220035944	0.1713661635
39	0.8234544032	0.1707822779
40	0.8246516534	0.1701545815
41	0.8260140354	0.1694659893
42	0.8283854083	0.1686338842
43	0.830786523	0.1678407219
44	0.8324164907	0.1671172467
45	0.8337522647	0.1665513528
46	0.8352667607	0.1658562856
47	0.8356505714	0.1655203267
48	0.8361971333	0.1652137874
49	0.8367252836	0.1649078959
50	0.8384819627	0.1644003232
51	0.8396831454	0.1640245754
52	0.840680776	0.1636525426
53	0.8418113257	0.1631961136
54	0.8426448491	0.1629112563
55	0.8434527893	0.1625460906
56	0.8441897348	0.1621803767
57	0.8447493144	0.1618849685
58	0.8452300496	0.1616564479
59	0.8454757433	0.1614393207
60	0.8457052704	0.16129241
61	0.8461025056	0.1610822121
62	0.846248382	0.1608791933
63	0.8465115381	0.1606551891
64	0.8466176081	0.1605309018
65	0.8469588401	0.1603182834
66	0.8471331023	0.1601396676
67	0.8475848039	0.1598630011
68	0.8480459975	0.1596178891
69	0.8483541731	0.1594474164
70	0.8485639627	0.1592649096
71	0.8487485305	0.1590722548
72	0.8488938043	0.1589824773
73	0.8490056599	0.1588670139
74	0.8497178357	0.158649619
75	0.8497383566	0.1585619597
76	0.8498600358	0.1584423985
77	0.8500350212	0.1582460408
78	0.8507305331	0.1579555082
79	0.8511504438	0.1577592698
80	0.8513506962	0.1576510076
81	0.8514651132	0.157502455
82	0.8521983221	0.1572198592
83	0.8526081531	0.1570687833
84	0.8529955648	0.1569134459
85	0.8532065899	0.1567858117
86	0.853374735	0.1566262169
87	0.8534996083	0.1565559182
88	0.853629062	0.1564895071
89	0.8538821986	0.1564098103
90	0.8541797823	0.1562714229
91	0.8546841271	0.1560620869
92	0.8548938866	0.1559233887
93	0.8551026818	0.155851378
94	0.8555043316	0.1556238107
95	0.8555115034	0.1556048483
96	0.8558559597	0.1554615426
97	0.8563507823	0.1552963791
98	0.8564116219	0.1552575432
99	0.856567804	0.1551738606
100	0.8567457123	0.1550868328
101	0.8568581405	0.1549878418
102	0.8570525922	0.1548800825
103	0.8571466992	0.1547947695
104	0.857224293	0.1547121598
105	0.8572914305	0.1546445393
106	0.8575297867	0.1545023083
107	0.8576693953	0.154408427
108	0.8580239615	0.1542800153
109	0.8585041091	0.154097711
110	0.8585331879	0.1540379937
111	0.8587906789	0.1539315899
112	0.8589771452	0.1538461562
113	0.8589802489	0.1538379771
114	0.8590139231	0.153795103
115	0.8591381938	0.1537155834
116	0.8591845693	0.1536841664
117	0.8595127837	0.1535452695
118	0.8595958618	0.1534630945
119	0.859657063	0.153374355
120	0.8597423409	0.1533116385
121	0.8599441451	0.1532303963
122	0.8602435217	0.1530842189
123	0.8602992084	0.1530527877
124	0.8605046287	0.1529565043
125	0.8606471301	0.1527777797
126	0.8607626018	0.1526896987
127	0.8608391108	0.1526066728
128	0.8608836482	0.1525525918
129	0.8609326754	0.1524607942
130	0.8609774237	0.1523780291
131	0.8611479795	0.1523120781
132	0.8612199383	0.1522353147
133	0.8613458663	0.1521113903
134	0.8615346228	0.1520288535
135	0.8615828665	0.1519594439
136	0.8616879421	0.1518279889
137	0.8619154201	0.1517299196
138	0.8620382745	0.1516553299
139	0.8620791958	0.1515536819
140	0.8622267899	0.151471886
141	0.8623089339	0.1513908723
142	0.8624157271	0.1513227551
143	0.8624702386	0.1512737615
144	0.8625209835	0.1512092165
145	0.863089121	0.150978856
146	0.8631036001	0.1509531254
147	0.8632490245	0.1508391415
148	0.863510915	0.1507194261
149	0.863870408	0.1505415479
150	0.8641318163	0.1504603585
151	0.8641966034	0.1504365161
152	0.8642447267	0.1503794674
153	0.8642514766	0.1503646304
154	0.8643727942	0.1502988273
155	0.8643815027	0.1502625011
156	0.8645510038	0.1501655501
157	0.8647679954	0.1500489638
158	0.8649009746	0.1499621779
159	0.8649431314	0.1499008685
160	0.8650585127	0.1497977599
161	0.8650918404	0.1497817
162	0.8651839435	0.1497031116
163	0.8652232075	0.1496571127
164	0.8652425231	0.1496264326
165	0.8653005904	0.1495429972
166	0.8653944563	0.1495110849
167	0.8654954036	0.1494365196
168	0.8656664716	0.1493250829
169	0.8659356846	0.1492089043
170	0.8661040104	0.1491111561
171	0.8663274807	0.1490212248
172	0.866367046	0.148952641
173	0.8665890096	0.1488134419
174	0.8668024152	0.1487076797
175	0.867000965	0.1486343951
176	0.8670323039	0.1486113174
177	0.8670446887	0.1485574746
178	0.8670897082	0.1484787902
179	0.8670939872	0.1484415656
180	0.8672145514	0.14834561
181	0.8673465363	0.1482830804
182	0.8673465664	0.1482100554
183	0.8674404022	0.1481357001
184	0.8674630024	0.1481103138
185	0.8675141691	0.1480543297
186	0.867517092	0.14802081
187	0.8676267479	0.1479562272
188	0.8681027371	0.1477800385
189	0.8684122687	0.1476739487
190	0.8684668405	0.1476029513
191	0.8686396864	0.1475159326
192	0.868782881	0.1474464729
193	0.8688126227	0.1474007484
194	0.8689207117	0.147336334
195	0.8689642245	0.1472755008
196	0.8694520562	0.147116488
197	0.8695613505	0.1470712908
198	0.8695990174	0.1470496784
199	0.8696128185	0.1470198878
200	0.869706805	0.1469980142
201	0.8699307875	0.1468901234
202	0.8700024149	0.1468520119
203	0.8701612186	0.1467575533
204	0.870245713	0.1467010817
205	0.8702502029	0.1466862316
206	0.8703214988	0.1466537288
207	0.8703705261	0.1466151688
208	0.870360582	0.1465896759
