iter	Passed	Remaining
0	118	118830
1	199	99527
2	239	79514
3	278	69324
4	351	69858
5	419	69548
6	447	63473
7	474	58863
8	582	64122
9	655	64892
10	769	69152
11	875	72116
12	979	74336
13	1071	75475
14	1213	79689
15	1333	82037
16	1453	84026
17	1570	85684
18	1679	86725
19	1791	87765
20	1881	87720
21	1990	88487
22	2110	89660
23	2228	90630
24	2335	91087
25	2433	91154
26	2556	92144
27	2672	92767
28	2826	94648
29	2967	95948
30	3032	94799
31	3155	95463
32	3249	95233
33	3369	95734
34	3499	96494
35	3602	96468
36	3706	96466
37	3849	97461
38	3961	97619
39	4069	97666
40	4180	97790
41	4312	98354
42	4431	98628
43	4576	99439
44	4707	99895
45	4803	99611
46	4930	99969
47	5071	100588
48	5161	100176
49	5276	100247
50	5407	100629
51	5520	100636
52	5642	100822
53	5753	100794
54	5877	100986
55	5999	101140
56	6117	101208
57	6248	101485
58	6364	101501
59	6590	103247
60	6773	104260
61	6899	104379
62	7016	104358
63	7142	104462
64	7297	104978
65	7403	104776
66	7556	105228
67	7680	105265
68	7821	105539
69	7950	105629
70	8089	105850
71	8214	105870
72	8367	106252
73	8479	106113
74	8743	107839
75	8865	107786
76	9000	107884
77	9115	107755
78	9242	107752
79	9381	107882
80	9500	107794
81	9624	107747
82	9779	108040
83	9924	108223
84	10040	108085
85	10184	108243
86	10327	108375
87	10456	108366
88	10591	108409
89	10731	108509
90	10865	108538
91	11013	108698
92	11122	108473
93	11227	108212
94	11371	108328
95	11520	108483
96	11737	109267
97	11910	109623
98	12048	109654
99	12193	109738
100	12329	109748
101	12446	109578
102	12582	109576
103	12726	109646
104	12911	110058
105	13089	110399
106	13252	110598
107	13412	110778
108	13548	110748
109	13686	110735
110	13818	110668
111	13973	110790
112	14115	110800
113	14162	110067
114	14296	110018
115	14418	109875
116	14536	109710
117	14647	109487
118	14790	109502
119	14920	109414
120	15044	109292
121	15199	109385
122	15323	109258
123	15461	109226
124	15585	109101
125	15718	109033
126	15876	109134
127	16004	109028
128	16149	109038
129	16287	109000
130	16426	108964
131	16575	108998
132	16706	108906
133	16850	108900
134	16990	108863
135	17136	108865
136	17254	108689
137	17406	108729
138	17533	108608
139	17653	108440
140	17836	108664
141	17964	108548
142	18099	108472
143	18236	108406
144	18390	108441
145	18530	108388
146	18668	108326
147	18790	108171
148	18965	108319
149	19116	108324
150	19250	108235
151	19438	108445
152	19588	108438
153	19727	108370
154	19860	108269
155	20016	108295
156	20163	108266
157	20312	108246
158	20423	108028
159	20547	107875
160	20667	107700
161	20815	107676
162	20997	107822
163	21131	107716
164	21271	107648
165	21413	107582
166	21541	107450
167	21687	107406
168	21835	107370
169	21963	107235
170	22096	107125
171	22223	106984
172	22364	106909
173	22508	106851
174	22617	106626
175	22775	106632
176	22901	106487
177	23043	106415
178	23189	106359
179	23310	106194
180	23472	106209
181	23637	106238
182	23909	106744
183	24082	106798
184	24209	106650
185	24344	106537
186	24473	106399
187	24582	106176
188	24717	106061
189	24849	105939
190	24993	105860
191	25146	105825
192	25270	105664
193	25387	105474
194	25508	105302
195	25648	105211
196	25795	105144
197	25908	104941
198	26035	104794
199	26177	104709
200	26289	104504
201	26397	104282
202	26527	104150
203	26686	104128
204	26808	103964
205	26950	103878
206	27087	103769
207	27207	103597
208	27354	103529
209	27490	103415
210	27620	103282
211	27801	103337
212	27981	103387
213	28155	103411
214	28294	103307
215	28438	103219
216	28578	103118
217	28723	103034
218	28909	103096
219	29058	103026
220	29176	102845
221	29324	102767
222	29486	102738
223	29621	102617
224	29726	102391
225	29861	102268
226	29998	102154
227	30158	102115
228	30308	102042
229	30449	101939
230	30589	101832
231	30713	101673
232	30851	101558
233	30970	101382
234	31136	101359
235	31288	101288
236	31538	101534
237	31731	101594
238	31965	101781
239	32173	101881
240	32380	101977
241	32521	101863
242	32649	101710
243	32783	101575
244	32931	101481
245	33065	101345
246	33197	101204
247	33320	101037
248	33458	100912
249	33584	100753
250	33701	100567
251	33822	100393
252	33959	100267
253	34093	100133
254	34222	99982
255	34346	99819
256	34485	99698
257	34633	99603
258	34784	99517
259	34897	99324
260	35011	99132
261	35154	99022
262	35305	98935
263	35437	98796
264	35560	98629
265	35718	98561
266	35878	98497
267	35985	98288
268	36120	98155
269	36265	98051
270	36404	97929
271	36534	97783
272	36640	97573
273	36770	97429
274	36919	97334
275	37062	97221
276	37188	97065
277	37298	96867
278	37441	96756
279	37555	96570
280	37686	96429
281	37833	96328
282	37971	96203
283	38103	96063
284	38210	95861
285	38330	95691
286	38446	95514
287	38582	95384
288	38708	95230
289	38805	95006
290	38950	94900
291	39096	94794
292	39210	94613
293	39326	94437
294	39469	94326
295	39599	94183
296	39720	94017
297	39849	93873
298	39978	93728
299	40124	93624
300	40238	93444
301	40361	93286
302	40513	93193
303	40667	93107
304	40806	92986
305	40927	92822
306	41074	92719
307	41210	92590
308	41323	92408
309	41444	92247
310	41580	92118
311	41688	91928
312	41791	91727
313	41947	91642
314	42079	91506
315	42218	91383
316	42342	91229
317	42471	91086
318	42609	90961
319	42760	90866
320	42893	90730
321	43042	90630
322	43219	90587
323	43418	90588
324	43657	90673
325	43848	90655
326	44052	90664
327	44321	90804
328	44555	90871
329	44781	90919
330	45014	90980
331	45223	90991
332	45422	90980
333	45622	90971
334	45845	91006
335	46022	90949
336	46212	90917
337	46450	90976
338	46662	90985
339	46851	90946
340	47036	90900
341	47236	90882
342	47407	90807
343	47616	90804
344	47815	90779
345	47979	90690
346	48112	90541
347	48264	90425
348	48448	90372
349	48639	90330
350	48866	90354
351	49083	90358
352	49209	90194
353	49326	90014
354	49487	89913
355	49695	89899
356	49898	89873
357	50109	89861
358	50299	89811
359	50441	89673
360	50588	89545
361	50703	89361
362	50830	89199
363	51010	89128
364	51158	89000
365	51316	88891
366	51440	88724
367	51575	88574
368	51707	88420
369	51851	88286
370	52003	88168
371	52157	88051
372	52366	88025
373	52505	87883
374	52658	87764
375	52799	87624
376	52938	87481
377	53070	87327
378	53213	87192
379	53328	87009
380	53479	86886
381	53656	86805
382	53869	86782
383	54041	86692
384	54163	86520
385	54312	86392
386	54482	86298
387	54667	86228
388	54931	86280
389	55116	86207
390	55255	86063
391	55398	85924
392	55545	85791
393	55669	85623
394	55830	85512
395	56081	85538
396	56265	85460
397	56417	85335
398	56547	85175
399	56675	85013
400	56828	84889
401	56965	84738
402	57173	84696
403	57329	84575
404	57469	84430
405	57598	84269
406	57749	84141
407	57874	83974
408	58019	83837
409	58182	83725
410	58377	83659
411	58591	83620
412	58806	83582
413	59020	83541
414	59218	83476
415	59418	83414
416	59631	83370
417	59861	83348
418	60071	83297
419	60236	83183
420	60361	83015
421	60517	82889
422	60634	82709
423	60772	82558
424	60911	82409
425	61048	82258
426	61185	82106
427	61304	81930
428	61431	81765
429	61563	81607
430	61691	81443
431	61831	81297
432	61973	81152
433	62126	81022
434	62289	80905
435	62443	80775
436	62593	80640
437	62736	80497
438	62889	80366
439	63030	80220
440	63185	80092
441	63316	79933
442	63450	79778
443	63588	79628
444	63736	79491
445	63884	79354
446	63997	79173
447	64145	79036
448	64312	78922
449	64454	78777
450	64601	78639
451	64746	78498
452	64872	78333
453	65005	78178
454	65134	78018
455	65259	77853
456	65397	77704
457	65608	77642
458	65736	77480
459	65881	77339
460	66026	77197
461	66162	77046
462	66303	76900
463	66442	76752
464	66567	76588
465	66709	76443
466	66900	76355
467	67083	76257
468	67238	76127
469	67466	76079
470	67683	76017
471	67862	75913
472	68063	75834
473	68223	75707
474	68345	75539
475	68507	75416
476	68640	75260
477	68772	75103
478	68911	74953
479	69044	74798
480	69207	74674
481	69354	74534
482	69502	74395
483	69622	74225
484	69776	74092
485	69959	73989
486	70133	73877
487	70275	73731
488	70408	73575
489	70532	73411
490	70682	73273
491	70832	73135
